,latitude,longitude
0,0.3971497,2.1136286
1,0.3971497,2.1136286
2,0.3971497,2.1136286
3,0.3971497,2.1136286
4,0.3971497,2.1136286
5,0.3971497,2.1136286
6,0.3971497,2.1136286
7,0.3971497,2.1136286
8,0.9675616,-0.0992462
9,0.0618409,-1.3331104
10,0.7199152,-0.1515188
11,0.7594434,0.7616024
12,0.9308469,-0.049737
13,0.5051943,-0.2374555
14,0.7451979,0.4086066
15,-0.3880844,1.9912286
16,0.1320408,-1.2572497
17,0.7151818,0.5029096
18,1.0676947,-2.6179241
19,0.8979736,0.0938032
20,0.6366123,-1.4382805
21,0.6903074,0.0478013
22,-0.3880844,1.9912286
23,0.105732,2.1833371
24,0.7135953,0.2494215
25,0.9000907,0.0121397
26,0.8951707,0.1181026
27,-0.4790929,-1.0307234
28,1.113377,0.3540017
29,0.3971497,2.1136286
30,0.3971497,2.1136286
31,0.3971497,2.1136286
32,0.3971497,2.1136286
33,0.3971497,2.1136286
34,0.3971497,2.1136286
35,0.3971497,2.1136286
36,0.3971497,2.1136286
37,-0.0659085,-0.6725207
38,1.1953987,0.2910878
39,0.6353941,0.4901967
40,0.547269,-1.9813968
41,0.1285898,2.3482359
42,0.7262367,0.7260517
43,0.3971497,2.1136286
44,0.3971497,2.1136286
45,0.3971497,2.1136286
46,0.3971497,2.1136286
47,0.3971497,2.1136286
48,0.3971497,2.1136286
49,0.3971497,2.1136286
50,0.3971497,2.1136286
51,0.3971497,2.1136286
52,0.3971497,2.1136286
53,0.3971497,2.1136286
54,0.3971497,2.1136286
55,0.3971497,2.1136286
56,0.3971497,2.1136286
57,0.3971497,2.1136286
58,0.3971497,2.1136286
59,0.3971497,2.1136286
60,0.3971497,2.1136286
61,0.3971497,2.1136286
62,0.3971497,2.1136286
63,0.3971497,2.1136286
64,0.3971497,2.1136286
65,0.3971497,2.1136286
66,0.3971497,2.1136286
67,0.3971497,2.1136286
68,0.3971497,2.1136286
69,0.3971497,2.1136286
70,0.3971497,2.1136286
71,0.3971497,2.1136286
72,0.3971497,2.1136286
73,0.3971497,2.1136286
74,0.3971497,2.1136286
75,0.3971497,2.1136286
76,0.3971497,2.1136286
77,0.3971497,2.1136286
78,0.3971497,2.1136286
79,0.3971497,2.1136286
80,0.3971497,2.1136286
81,0.3971497,2.1136286
82,0.3971497,2.1136286
83,0.3971497,2.1136286
84,0.3971497,2.1136286
85,0.3971497,2.1136286
86,0.3971497,2.1136286
87,0.3971497,2.1136286
88,0.3971497,2.1136286
89,0.3971497,2.1136286
90,0.3971497,2.1136286
91,0.3971497,2.1136286
92,0.3971497,2.1136286
93,0.3971497,2.1136286
94,0.3971497,2.1136286
95,0.3971497,2.1136286
96,0.3971497,2.1136286
97,0.3971497,2.1136286
98,0.3971497,2.1136286
99,0.3971497,2.1136286
100,0.3971497,2.1136286
101,0.3971497,2.1136286
102,0.3971497,2.1136286
103,0.3971497,2.1136286
104,0.3971497,2.1136286
105,0.3971497,2.1136286
106,0.3971497,2.1136286
107,0.3971497,2.1136286
108,0.3971497,2.1136286
109,0.3971497,2.1136286
110,0.3971497,2.1136286
111,0.3971497,2.1136286
112,0.3971497,2.1136286
113,0.3971497,2.1136286
114,0.3971497,2.1136286
115,0.3971497,2.1136286
116,0.3971497,2.1136286
117,0.3971497,2.1136286
118,0.3971497,2.1136286
119,0.3971497,2.1136286
120,0.3971497,2.1136286
121,0.3971497,2.1136286
122,0.3971497,2.1136286
123,0.3971497,2.1136286
124,0.3971497,2.1136286
125,0.3971497,2.1136286
126,0.3971497,2.1136286
127,0.3971497,2.1136286
128,0.7092983,-1.2876847
129,0.7102181,-1.294488
130,0.5924084,-2.0666094
131,0.7116964,-1.28932
132,0.7326648,-1.5342282
133,0.6297166,-2.0097815
134,0.5870712,-1.4735483
135,0.4961866,-1.4191097
136,0.6565754,-2.1358467
137,0.7393965,-1.2392746
138,0.6837397,-1.3381142
139,0.5741575,-1.6936326
140,0.8281413,-2.1346947
141,0.6780971,-1.3445615
142,0.6797098,-1.3518588
143,0.7833387,-1.6270274
144,0.6957179,-1.8268884
145,0.4501763,-1.4013354
146,0.7367453,-1.4547913
147,0.5835386,-1.9549782
148,0.3720815,-2.7562588
149,0.4550527,-1.3989286
150,0.7293033,-1.5315684
151,0.5713091,-2.0453514
152,0.6958959,-1.3132049
153,0.4882646,-1.4404761
154,0.5233265,-1.6640213
155,0.7956729,-2.1397387
156,0.6146003,-1.4127236
157,0.3218282,-1.1519487
158,0.5234836,-1.5752993
159,0.3671562,-1.5162914
160,0.7118919,-1.9543847
161,0.3647494,-2.7302184
162,0.6261823,-1.3751013
163,0.6762924,-1.5772541
164,0.4631441,-1.4268975
165,0.5877519,-2.0571846
166,0.5269934,-1.7046613
167,0.6858725,-1.6530694
168,0.6521004,-2.1280625
169,0.5174098,-1.6629305
170,0.6931977,-1.5061215
171,0.57329,-1.6903828
172,0.70671,-1.4003283
173,0.6304915,-1.51282
174,0.6753621,-2.1221634
175,0.7495701,-1.5340851
176,0.6583609,-2.1331589
177,0.5154603,-1.7186223
178,0.7227705,-1.4285485
179,0.4657097,-1.3979319
180,0.5322225,-1.4257228
181,0.6980968,-1.4467366
182,0.8983314,-0.0080624
183,0.3229505,-1.3598453
184,0.7319719,-1.2685611
185,0.6815302,-1.4777319
186,0.7494531,-1.3741361
187,0.5781979,-2.0469221
188,0.6116053,-1.5703897
189,0.7208768,-1.6736677
190,0.3835536,-2.7809903
191,0.5943893,-2.0525246
192,0.762311,-1.3898162
193,0.6545892,-1.3494834
194,0.3445071,-2.7235166
195,0.5902302,-2.0621414
196,0.6964283,-1.4699058
197,0.3240623,-1.1931665
198,0.6177261,-1.7034536
199,0.3392274,-1.7291343
200,0.5969148,-2.0657543
201,0.3200462,-1.1339997
202,0.6439322,-1.3299619
203,0.5435549,2.1258983
204,-0.2122443,-1.3438843
205,0.5741889,-1.3969702
206,0.7283713,-1.2465212
207,0.5605317,-1.9362858
208,0.666269,-1.4963755
209,0.6115668,-1.8606781
210,0.2532228,2.1121974
211,0.7484111,-1.4926544
212,0.7525668,-1.3556391
213,0.6893893,-2.0903459
214,1.0676947,-2.6179241
215,0.831124,-2.0513552
216,0.7524324,-1.3283055
217,0.5878216,-1.3775587
218,0.7249051,-1.6347295
219,0.4040751,-1.9149927
220,0.9323776,-0.1094334
221,0.8554347,0.0445059
222,0.7603422,-2.028474
223,0.6995297,2.0347921
224,0.358173,-1.8031171
225,0.7141207,-1.4214345
226,0.5857831,-1.5141342
227,0.5318612,-1.5216932
228,0.4985795,1.345703
229,0.7460986,-1.2880826
230,0.6300255,-1.3951691
231,0.7529333,-1.5592335
232,0.5607324,-1.4172441
233,0.8585955,-2.1499664
234,0.6317812,-1.6735631
235,0.4285848,-1.4269742
236,0.2387802,1.7583669
237,0.1744258,-1.4697208
238,0.6250199,-1.4659719
239,0.6418658,-2.0894733
240,0.3331607,1.2717847
241,0.437013,-1.3520403
242,0.677289,-1.8273771
243,0.7617699,-1.2271288
244,0.7493152,-1.2467882
245,0.6061424,-1.6096176
246,0.7067466,-0.0622517
247,0.8731254,0.1491057
248,0.6090448,-1.4349906
249,0.5904397,-2.0334308
250,0.4781399,-1.440846
251,0.6571147,-1.7005284
252,0.5551404,-1.8566463
253,0.5587043,0.6088878
254,0.7296262,0.2138168
255,0.2181906,-1.2219957
256,0.7015089,-1.339774
257,0.3893638,1.9881918
258,-0.4090276,-0.8111079
259,0.7167544,-1.2864404
260,0.6539592,2.2069862
261,0.7207704,0.036276
262,0.9129573,0.0831456
263,0.321659,-1.2159517
264,0.3609358,-1.8370288
